Class0_Channel330	Class0_Channel293	Class0_Channel851	Class1_Channel348	Class1_Channel1021	Class1_Channel643	Class2_Channel333	Class2_Channel337	Class2_Channel597	Class3_Channel328	Class3_Channel510	Class3_Channel172	Class4_Channel647	Class4_Channel267	Class4_Channel315	Class5_Channel922	Class5_Channel1094	Class5_Channel1057	Class6_Channel255	Class6_Channel979	Class6_Channel842	
1	2	1	3	1	2	2	2	4	1	1	2	1	1	1	3	1	3	1	1	5	
1	0	0	21	0	3	0	0	5	1	0	1	1	2	0	0	1	9	0	2	20	
2	0	1	53	0	1	1	1	15	1	0	2	0	0	2	5	0	16	0	0	74	
2	0	3	106	0	1	1	3	39	4	0	0	0	0	2	6	6	19	0	1	100	
1	2	13	177	0	2	6	5	133	4	0	0	1	0	10	16	5	40	0	0	27	
10	0	21	288	2	4	4	9	290	9	1	0	1	4	22	18	6	68	0	4	10	
12	1	42	464	1	4	19	22	460	14	2	0	2	4	5	38	6	105	0	2	14	
14	3	85	676	1	10	49	32	656	22	1	0	5	10	6	36	22	141	0	4	14	
30	2	140	487	3	8	70	52	729	24	2	1	9	17	12	57	17	212	1	8	20	
38	2	221	117	6	15	106	92	682	58	2	0	14	23	15	81	29	255	0	7	18	
41	1	291	113	14	27	147	133	623	76	4	0	12	39	8	66	46	260	0	8	21	
49	0	344	124	41	95	185	161	519	115	5	0	38	39	11	98	45	318	0	10	24	
12	1	54	94	93	326	56	247	426	161	9	1	43	59	14	105	60	367	0	14	15	
7	5	55	119	153	545	26	306	215	205	10	1	60	72	15	120	45	369	0	16	15	
4	4	46	116	196	770	27	349	30	237	14	2	120	117	25	130	63	404	0	30	16	
5	5	52	101	282	808	32	401	29	329	19	0	139	104	19	173	100	370	0	33	25	
4	6	63	115	323	754	28	142	33	297	31	0	178	144	15	188	89	346	1	41	21	
3	4	58	111	357	640	34	41	24	333	58	0	232	141	23	197	104	307	0	65	27	
8	8	67	91	396	574	30	48	33	355	79	0	270	179	30	228	137	298	1	74	24	
6	6	56	89	459	536	32	41	34	413	128	2	343	181	34	220	147	234	1	98	25	
8	8	71	101	278	397	27	56	26	408	154	2	404	227	34	229	36	200	1	120	32	
